CHI_NAME,ORI_NAME,NEW_NAME
工商業總家數,C_CNT,BUSINESS_SUM
農、林、漁、牧業,C1_A_CNT,AGRI_FORE_FISH_HUSB
礦業及土石採取業,C1_B_CNT,MINING
製造業,C1_C_CNT,MANUFACTURING
電力及燃氣供應業,C1_D_CNT,ELECTRICITY
用水供應及污染整治業,C1_E_CNT,HYDRA_POLLUTION
營造業,C1_F_CNT,CONSTRUCTION
批發及零售業,C1_G_CNT,WHOLESALE_RETAIL
運輸及倉儲業,C1_H_CNT,TRANSPORT_WAREHOUSE
住宿及餐飲業,C1_I_CNT,ACCOMMODATE_CATER
資訊及通訊傳播業,C1_J_CNT,INFO_COMMUNICATION
金融及保險業,C1_K_CNT,BANK_INSURANCE
不動產業,C1_L_CNT,REALESTATE
專業、科學及技術服務業,C1_M_CNT,SCIENTIFIC
支援服務業,C1_N_CNT,SUPPORT_SERVICE
公共行政及國防、強制性社會安全,C1_O_CNT,ADMIN_SECURITY
教育服務業,C1_P_CNT,EDUCATION
醫療保健及社會工作服務業,C1_Q_CNT,HEALTHCARE_SOCIAL
藝術、娛樂及休閒服務業,C1_R_CNT,ART_ENTERTAIN
其他服務業,C1_S_CNT,OTHERS
