ORI_NAME,COL_NAME
鄉鎮市區,TOWNNAME
交易標的,TRANSACTION_TYPE
土地位置建物門牌,ADDRESS
土地移轉總面積平方公尺,TOTAL_AREA
都市土地使用分區,LANDUSE_URBAN
非都市土地使用分區,LANDUSE_NONURBAN
非都市土地使用編定,LANDUSE_NONURBANPLAN
交易年月日,TRANSACTION_DATE
交易筆棟數,TRANSACTION_NUM
移轉層次,BUILD_LEVEL
總樓層數,TOTAL_FLOOR
建物型態,BUILDING_TYPE
主要用途,MAIN_USE
主要建材,BUILDING_MATERIAL
建築完成年月,CONSTRUCTION_DATE
建物移轉總面積平方公尺,BUILD_TOTAL_AREA
建物現況格局.房,ROOM
建物現況格局.廳,HALL
建物現況格局.衛,BATH
建物現況格局.隔間,COMPARTMENT
有無管理組織,MANAGEMENT
總價元,TOTAL_PRICE
單價元平方公尺,UNIT_PRICE
車位類別,PARKING_TYPE
車位移轉總面積平方公尺,PARKING_AREA
車位總價元,PARKING_PRICE
備註,NOTE
編號,SERIALNUM
主建物面積,BUILD_AREA_MAIN
附屬建物面積,BUILD_AREA_AUX
陽台面積,BALCONY_AREA
電梯,ELEVATOR
移轉編號,TRANSACTION_ID
建案名稱,CONSTRUCT_NAME
棟及號,BUILD_NUM
土地面積平方公尺,LAND_AREA
租賃年月日,RENT_DATE
租賃筆棟數,RENT_NUM
租賃層次,RENT_LEVEL
建物總面積平方公尺,BUILD_TOTAL_AREA
有無附傢俱,FURNITURE
總額元,TOTAL_PRICE
車位面積平方公尺,PARKING_UNIT_PRICE
車位總額元,PARKING_PRICE
