"NEW_NAME","ORI_NAME"
"A55A59_F_CNT","FLD20"
"A80A84_F_CNT","FLD30"
"A100UP_F_5_CNT","FLD39"
"A30A34_M_CNT","FLD9"
"A50A54_M_CNT","FLD17"
"A20A24_M_CNT","FLD5"
"A30A34_F_CNT","FLD10"
"A85A89_M_CNT","FLD31"
"A65A69_M_CNT","FLD23"
"A50A54_F_CNT","FLD18"
"A20A24_F_CNT","FLD6"
"A95A99_M_CNT","FLD35"
"A15A19_M_CNT","FLD3"
"A65A69_F_CNT","FLD24"
"A100UP_5_CNT","FLD37"
"A95A99_F_CNT","FLD36"
"A15A19_F_CNT","FLD4"
"A25A29_M_CNT","FLD7"
"A40A44_M_CNT","FLD13"
"A85A89_F_CNT","FLD32"
"A10A14_M_CNT","FLD1"
"A40A44_F_CNT","FLD14"
"A75A79_M_CNT","FLD27"
"A10A14_F_CNT","FLD2"
"A90A94_M_CNT","FLD33"
"A70A74_M_CNT","FLD25"
"A100UP_M_5_CNT","FLD38"
"A75A79_F_CNT","FLD28"
"A90A94_F_CNT","FLD34"
"A70A74_F_CNT","FLD26"
"A25A29_F_CNT","FLD8"
"A35A39_M_CNT","FLD11"
"A60A64_M_CNT","FLD21"
"A45A49_M_CNT","FLD15"
"A55A59_M_CNT","FLD19"
"A80A84_M_CNT","FLD29"
"A35A39_F_CNT","FLD12"
"A60A64_F_CNT","FLD22"
"A45A49_F_CNT","FLD16"
