"DATANAME","TIME","SA","TIME_NUM","TIME_lab"
"最小統計區圖(GML)","106Y06M","SA0",24210,"2017-06"
"最小統計區圖(GML)","106Y12M","SA0",24216,"2018-12"
"最小統計區圖(GML)","107Y06M","SA0",24222,"2018-06"
"最小統計區圖(GML)","107Y12M","SA0",24228,"2019-12"
"最小統計區圖(GML)","108Y06M","SA0",24234,"2019-06"
"最小統計區圖(GML)","108Y12M","SA0",24240,"2020-12"
"最小統計區圖(GML)","109Y06M","SA0",24246,"2020-06"
"最小統計區圖(GML)","109Y12M","SA0",24252,"2021-12"
"最小統計區圖(GML)","110Y06M","SA0",24258,"2021-06"
"最小統計區圖(GML)","110Y12M","SA0",24264,"2022-12"
"一級發布區圖(GML)","106Y06M","SA1",24210,"2017-06"
"一級發布區圖(GML)","106Y12M","SA1",24216,"2018-12"
"一級發布區圖(GML)","107Y06M","SA1",24222,"2018-06"
"一級發布區圖(GML)","107Y12M","SA1",24228,"2019-12"
"一級發布區圖(GML)","108Y06M","SA1",24234,"2019-06"
"一級發布區圖(GML)","108Y12M","SA1",24240,"2020-12"
"一級發布區圖(GML)","109Y06M","SA1",24246,"2020-06"
"一級發布區圖(GML)","109Y12M","SA1",24252,"2021-12"
"一級發布區圖(GML)","110Y06M","SA1",24258,"2021-06"
"一級發布區圖(GML)","110Y12M","SA1",24264,"2022-12"
"二級發布區圖(GML)","106Y06M","SA2",24210,"2017-06"
"二級發布區圖(GML)","106Y12M","SA2",24216,"2018-12"
"二級發布區圖(GML)","107Y06M","SA2",24222,"2018-06"
"二級發布區圖(GML)","107Y12M","SA2",24228,"2019-12"
"二級發布區圖(GML)","108Y06M","SA2",24234,"2019-06"
"二級發布區圖(GML)","108Y12M","SA2",24240,"2020-12"
"二級發布區圖(GML)","109Y06M","SA2",24246,"2020-06"
"二級發布區圖(GML)","109Y12M","SA2",24252,"2021-12"
"二級發布區圖(GML)","110Y06M","SA2",24258,"2021-06"
"二級發布區圖(GML)","110Y12M","SA2",24264,"2022-12"
